lon	lat	Moy
-7.59	9.42	1072.81166666667
-7.34	9.42	1059.98555555556
-6.84	9.42	1034.57722222222
-6.59	9.42	1021.85888888889
-6.34	9.42	740.227777777778
-7.59	9.67	1276.80666666667
-7.34	9.67	1164.10833333333
-7.09	9.67	1170.18444444444
-6.84	9.67	990.451666666667
-6.59	9.67	979.506111111111
-6.34	9.67	740.227777777778
-7.84	9.92	1361.60555555556
-7.59	9.92	1378.42055555556
-7.34	9.92	1397.25277777778
-7.09	9.92	1418.265
-6.84	9.92	1441.79277777778
-6.59	9.92	1318.72833333333
-6.34	9.92	1278.91277777778
-7.84	10.17	1361.41222222222
-7.59	10.17	1393.52722222222
-7.34	10.17	1425.02388888889
-7.09	10.17	1468.93111111111
-6.84	10.17	1501.72444444444
-6.59	10.17	1544.40111111111
-6.34	10.17	1544.68611111111
-6.09	10.17	2156.77944444444
-5.84	10.17	1929.70055555556
-7.84	10.42	1269.84833333333
-7.59	10.42	1324.03
-7.34	10.42	1348.76277777778
-7.09	10.42	1379.77611111111
-6.84	10.42	1404.27944444444
-6.59	10.42	1440.19111111111
-6.34	10.42	1459.48222222222
-6.09	10.42	1871.64444444444
-5.84	10.42	1860.35833333333
-7.84	10.67	1193.49111111111
-7.59	10.67	1199.04666666667
-7.34	10.67	1220.84333333333
-7.09	10.67	1286.55944444444
-6.84	10.67	1335.32111111111
-6.59	10.67	1316.76611111111
-6.34	10.67	1361.78055555556
-6.09	10.67	1672.845
-5.84	10.67	1682.44166666667
-5.59	10.67	1666.90333333333
-7.84	10.92	1112.31722222222
-7.59	10.92	1106.34555555556
-7.34	10.92	1146.08888888889
-7.09	10.92	1175.36555555556
-6.84	10.92	1206.09277777778
-6.59	10.92	1234.03944444444
-6.34	10.92	1478.23111111111
-6.09	10.92	1495.92333333333
-5.84	10.92	1497.09777777778
-5.59	10.92	1515.56444444444
-5.34	10.92	1497.82333333333
-7.84	11.17	1065.04888888889
-7.59	11.17	1054.41611111111
-7.34	11.17	1057.53722222222
-7.09	11.17	1067.88777777778
-6.84	11.17	1084.29222222222
-6.59	11.17	1127.38166666667
-6.34	11.17	1289.87277777778
-6.09	11.17	1308.34888888889
-5.84	11.17	1330.08444444444
-5.59	11.17	1345.41555555556
-5.34	11.17	1382.72388888889
-7.84	11.42	1039.305
-7.59	11.42	1016.61666666667
-7.34	11.42	1004.32666666667
-7.09	11.42	986.628888888889
-6.84	11.42	993.055
-6.59	11.42	1076.94722222222
-6.34	11.42	1124.435
-6.09	11.42	1141.20888888889
-5.84	11.42	1160.83388888889
